tvl,path,outage,discountBps,dimension,swapCostBps,loopCostBps,slippageBps,incentiveMode,exitLagSeconds,harvestEveryDays,halfExitDay,mainInterestWei,loopInterestWei,incentiveWei,recoveryWei,peakDebtWei,hollarSoldWei,hollarBoughtWei,floorMisses,liquidations,ethReturnBps,btcReturnBps,surplusPaidWei,residualSourceClaimWei
100000,0,0,0,0,10,0,100,0,172800,1,60,734632306578826906012,3845819294207050972999,0,0,490775079173394601918985,489396059474440000000000,488135710071000000000000,0,0,0,0,872777555960646654040,1323242917977162961628
100000,0,0,5000,0,10,0,100,0,172800,1,60,366413792496526614664,3845819294207050972999,0,0,490483748392645151899560,489396059474440000000000,486881707080000000000000,0,0,0,0,1034519117096179431263,1529719588327162961628
100000,0,0,10000,0,10,0,100,0,172800,1,60,0,3845819294207050972999,0,0,490193487129890856763261,489396059474440000000000,485432039276000000000000,0,0,0,0,1162238954429999999999,1768413262447162961628
100000,0,1,0,0,10,0,100,0,172800,1,60,734632785463000535606,3837474903474474958396,0,0,490754524279362700872722,489383703207830000000000,488111423819000000000000,0,0,0,0,868842225006473024446,1323174239996427261402
100000,0,1,5000,0,10,0,100,0,172800,1,60,366414031928200087516,3837474903474474958396,0,0,490463193498613250853297,489383703207830000000000,486857485203000000000000,0,0,0,0,1030594604194505958411,1529640331746427261402
100000,0,1,10000,0,10,0,100,0,172800,1,60,0,3837474903474474958396,0,0,490172932235858955716998,489383703207830000000000,485407891689000000000000,0,0,0,0,1158326888839999999999,1768321797986427261402
100000,1,0,0,0,10,0,100,0,172800,1,60,930118206264879860803,4856145623319683721880,0,0,698667138213302191446106,697436900278580000000000,695812545147000000000000,0,0,0,0,1095754002570877164712,1676599445846356096624
100000,1,0,5000,0,10,0,100,0,172800,1,60,464250902718829726572,4859000167646273559495,0,0,697442099545597208843570,696559644282940000000000,693019972215000000000000,0,0,0,0,1247596858345062738998,1992790356122308823156
100000,1,0,10000,0,10,0,100,0,172800,1,60,0,4898692588364570069857,0,0,716664196172709441814371,718775985787590000000000,714038592177000000000000,0,0,0,0,1522562243044999999699,2213419779122757653339
100000,1,1,0,0,10,0,100,0,172800,1,60,891353510748358508348,4642909338938326439072,0,0,704457453194066078629847,703516499986640000000000,701730635192000000000000,0,0,0,0,1009551486960674841754,1641773749121907336610
