tvl,path,outage,discountBps,dimension,swapCostBps,loopCostBps,reserveCostBps,bufferDays,exitLagSeconds,harvestEveryDays,halfExitDay,mainInterestWei,loopInterestWei,bootstrapWei,recoveryWei,peakDebtWei,hollarSoldWei,hollarBoughtWei,floorMisses,liquidations,ethReturnBps,btcReturnBps,bufferPaidWei,residualSourceClaimWei
100000,0,0,0,0,10,0,10,7,172800,1,60,730247280859965104023,3667405601854788849574,544154459275916285450,4290000001125,478725389004440078256456,582667579180670000000000,584578206331000000000000,0,0,183,195,275240765030951385720,302418702453377733760
100000,0,0,5000,0,10,0,10,7,172800,1,60,365124135361239382053,3667222771988459022138,511415620115905007394,3750000001125,478725389004440078256456,593214907582900000000000,594968851814000000000000,0,0,213,227,270206891359414369129,330331958907171545937
100000,0,0,10000,0,10,0,10,7,172800,1,60,0,3667222771988459022138,478676780955910396005,3750000001125,478725389004440078256456,593214907582900000000000,594628742994000000000000,0,0,240,256,265303696688579107024,387208241187171545937
100000,0,1,0,0,10,0,10,7,172800,1,60,730651314992710421640,3664694384002297835063,544154459275916285450,1620000001125,478725389004440078256456,542922048891200000000000,544829841118000000000000,0,0,183,195,275292478949104990212,302429176331254927319
100000,0,1,5000,0,10,0,10,7,172800,1,60,365194901404936239973,3664511329611185559457,511415620115905007394,4290000001125,478725389004440078256456,553469077526470000000000,555220245037000000000000,0,0,213,227,269668268324418217666,330333045335125651074
100000,0,1,10000,0,10,0,10,7,172800,1,60,0,3664511329611185559457,478676780955910396005,4290000001125,478725389004440078256456,553469077526470000000000,554880135310000000000000,0,0,240,256,264704596436353955232,387209472365125651074
100000,1,0,0,0,10,0,10,7,172800,1,60,949864833667615388550,4774148935176145472745,870383609919476402592,4289982584416,713597224117912890287007,779304562378420000000000,781387229482000000000000,0,0,178,189,421791696047060417244,463352062578749020531
100000,1,0,5000,0,10,0,10,7,172800,1,60,474969205802716248893,4757908634645114633207,811198370131546898114,0,696306573059324295666116,779050775127340000000000,780618183929000000000000,0,0,201,217,416130183851163557892,555419356714290716636
100000,1,0,10000,0,10,0,10,7,172800,1,60,0,4764299292962761602690,735352684864871609395,0,697798474157233661447886,781024127417730000000000,782033987066000000000000,0,0,226,244,395000044136751576166,649249337351269743121
100000,1,1,0,0,10,0,10,7,172800,1,60,891773241979456568250,4474916240607791645455,813005555947168141417,4354022702188,687061392716453663498666,761639712786700000000000,763540867365000000000000,0,0,157,173,403243988922493282871,443100488629788379343
100000,1,1,5000,0,10,0,10,7,172800,1,60,446190755531219717692,4479043972753501496814,758881712191850523010,5160509595423,688369259917062864652985,778530014087570000000000,780200632648000000000000,0,0,181,200,398343373010609088385,484924239911202497027
100000,1,1,10000,0,10,0,10,7,172800,1,60,0,4483425515040731279409,703920300561118988630,4774657072007,689672838964608876259250,779961718536170000000000,781131178602000000000000,0,0,203,226,391873567791787416963,569494536480965271031
100000,2,0,0,0,10,0,10,7,172800,1,60,1517403800919234923974,4752560761499576606692,544154459275916285450,3717729890758725712486,468151957753324745205479,478333957323600000000000,480342020456000000000000,0,0,0,0,4009997473513,0
100000,2,0,5000,0,10,0,10,7,172800,1,60,756821216317507943516,4408816267778794377131,511415620115905007394,2815223143590291324123,468151957753324745205479,478333957323600000000000,480172951877000000000000,0,0,0,0,4009997477299,0
100000,2,0,10000,0,10,0,10,7,172800,1,60,0,4541710997639525053694,478676780955910396005,2157723584657178111971,468151957753324745205479,478333957323600000000000,480240166992000000000000,0,0,0,0,931442297059994554,129315635383602823
100000,2,1,0,0,10,0,10,7,172800,1,60,1627519823708609570986,6988118564804329980640,544154459275916285450,5242819155852243503070,468151957753324745205479,478333957323600000000000,481162489543000000000000,32,0,0,0,4009997476317,0
100000,2,1,5000,0,10,0,10,7,172800,1,60,810659376480601996415,6977514223053179481979,511415620115905007394,4452734396037101144842,468151957753324745205479,478333957323600000000000,481157843345000000000000,2,0,0,0,4009997458981,0
100000,2,1,10000,0,10,0,10,7,172800,1,60,0,6997279679747854076440,478676780955910396005,3686890083401913439697,468151957753324745205479,478333957323600000000000,481165537374000000000000,0,0,0,0,4009997462998,0
